,VehicleID,Travel_Time,Startpoint,Endpoint
68,Truck35393,32,SourceSink13022,13040
69,Truck35087,81,SourceSink13012,12253
70,Truck35130,75,SourceSink13034,12871
71,Truck35446,24,SourceSink13034,13023
72,Truck35012,97,SourceSink12355,12624
73,Truck35021,96,SourceSink12542,12625
74,Truck34813,131,SourceSink12624,12629
75,Truck35095,82,SourceSink12253,13022
76,Truck35533,12,SourceSink11303,12254
77,Truck35450,26,SourceSink12756,12757
78,Truck34867,124,SourceSink13022,13011
79,Truck35269,58,SourceSink13040,12253
80,Truck35358,43,SourceSink12542,12624
81,Truck35472,23,SourceSink12757,12799
82,Truck35507,18,SourceSink13022,13023
83,Truck35312,52,SourceSink10000,12354
84,Truck35432,31,SourceSink13012,13040
85,Truck35326,50,SourceSink11303,12354
86,Truck35451,29,SourceSink13012,13034
87,Truck34922,116,SourceSink12541,11303
88,Truck35139,81,SourceSink13012,12253
89,Truck35309,55,SourceSink13022,12871
90,Truck35106,86,SourceSink10000,12355
91,Truck35271,62,SourceSink12542,12355
92,Truck35390,43,SourceSink12624,12542
93,Truck34874,131,SourceSink12629,12624
94,Truck35288,63,SourceSink12871,13023
95,Truck35535,22,SourceSink13040,13033
96,Truck35347,54,SourceSink13012,12871
97,Truck35489,30,SourceSink13034,13022
98,Truck35623,9,SourceSink13022,13012
99,Truck34937,121,SourceSink12756,12657
100,Truck34828,144,SourceSink13034,13011
101,Truck35522,29,SourceSink13034,13012
102,Truck34835,144,SourceSink13011,13034
103,Truck35556,26,SourceSink12756,12757
104,Truck34851,144,SourceSink13034,13011
105,Truck35234,82,SourceSink12253,13022
106,Truck34942,131,SourceSink12624,12625
107,Truck35375,62,SourceSink12355,12542
108,Truck35415,56,SourceSink12253,13034
109,Truck35435,52,SourceSink10000,12354
110,Truck35478,45,SourceSink12630,12625
111,Truck35173,96,SourceSink12542,12629
112,Truck35712,8,SourceSink13023,13033
113,Truck34998,127,SourceSink12253,12871
114,Truck35024,124,SourceSink13022,13011
115,Truck35056,118,SourceSink10000,12541
116,Truck35439,55,SourceSink13022,12871
117,Truck35589,32,SourceSink13022,13040
118,Truck35667,17,SourceSink13012,13023
119,Truck34941,137,SourceSink12542,12630
120,Truck35594,32,SourceSink13022,13040
121,Truck35384,67,SourceSink12657,12625
122,Truck35357,73,SourceSink12871,13011
123,Truck34856,155,SourceSink12541,12542
124,Truck35029,128,SourceSink13011,13033
125,Truck34894,150,SourceSink12355,12625
126,Truck35345,76,SourceSink12254,12355
127,Truck35750,9,SourceSink13012,13022
128,Truck35220,97,SourceSink12355,12624
129,Truck35778,6,SourceSink12750,12756
130,Truck34993,137,SourceSink12542,12630
131,Truck35688,22,SourceSink13033,13040
132,Truck35574,43,SourceSink12542,12624
133,Truck35517,52,SourceSink12354,10000
134,Truck34962,144,SourceSink10000,12542
135,Truck35051,131,SourceSink12624,12629
136,Truck34903,155,SourceSink12541,12542
137,Truck34912,154,SourceSink12656,12756
138,Truck35521,55,SourceSink13022,12871
139,Truck35692,26,SourceSink13040,13023
140,Truck35705,26,SourceSink12756,12757
141,Truck34913,158,SourceSink12799,12657
142,Truck35353,87,SourceSink12355,10000
143,Truck35503,62,SourceSink12355,12542
144,Truck35730,26,SourceSink12757,12756
145,Truck35096,131,SourceSink12624,12625
146,Truck35809,14,SourceSink10000,12254
147,Truck35718,32,SourceSink13040,13022
148,Truck35645,45,SourceSink12799,12756
149,Truck35725,32,SourceSink13040,13022
150,Truck35603,54,SourceSink13012,12871
151,Truck35780,24,SourceSink13034,13023
152,Truck35032,150,SourceSink12629,12355
153,Truck34964,161,SourceSink12656,12624
154,Truck35622,54,SourceSink13012,12871
155,Truck35068,144,SourceSink10000,12542
156,Truck34853,183,SourceSink12757,12749
157,Truck35524,72,SourceSink12253,13033
158,Truck35914,6,SourceSink10000,11303
159,Truck34873,182,SourceSink12625,12750
160,Truck35027,158,SourceSink12799,12657
161,Truck35259,118,SourceSink10000,12541
162,Truck35864,18,SourceSink13022,13023
163,Truck35658,54,SourceSink13012,12871
164,Truck35067,152,SourceSink12656,12750
165,Truck35332,109,SourceSink12541,12800
166,Truck35866,20,SourceSink13033,13034
167,Truck34958,172,SourceSink12757,12656
168,Truck35257,123,SourceSink13011,13012
169,Truck35333,111,SourceSink12625,12749
170,Truck35542,77,SourceSink13040,12871
171,Truck35729,45,SourceSink12629,12630
172,Truck35281,124,SourceSink13011,13022
173,Truck34918,184,SourceSink12625,12756
174,Truck35000,172,SourceSink12624,12630
175,Truck35857,30,SourceSink13022,13034
176,Truck35764,48,SourceSink12657,12630
177,Truck35853,32,SourceSink13040,13022
178,Truck35964,14,SourceSink13022,13033
179,Truck36003,6,SourceSink10000,11303
180,Truck36009,6,SourceSink12750,12756
181,Truck34957,182,SourceSink12629,12750
182,Truck34952,184,SourceSink12629,12756
183,Truck35879,32,SourceSink13040,13022
184,Truck34995,181,SourceSink12871,12870
185,Truck35761,55,SourceSink12254,12354
186,Truck35900,30,SourceSink13022,13034
187,Truck35949,22,SourceSink13040,13033
188,Truck35716,63,SourceSink13023,12871
189,Truck34984,185,SourceSink12354,12542
190,Truck35785,52,SourceSink10000,12354
191,Truck35678,72,SourceSink12253,13033
192,Truck35997,18,SourceSink13023,13022
193,Truck35661,76,SourceSink12254,12355
194,Truck35781,58,SourceSink13040,12253
195,Truck35792,55,SourceSink12254,12354
196,Truck35833,48,SourceSink12749,12657
197,Truck35057,178,SourceSink11303,12624
198,Truck35053,180,SourceSink10000,12624
199,Truck35197,155,SourceSink12542,12541
200,Truck35258,146,SourceSink13040,13011
201,Truck34820,221,SourceSink12799,12629
202,Truck35601,92,SourceSink12749,12630
203,Truck34934,202,SourceSink13033,12800
204,Truck35707,75,SourceSink13034,12871
205,Truck35876,45,SourceSink12625,12630
206,Truck35061,182,SourceSink12750,12629
207,Truck35597,96,SourceSink12542,12625
208,Truck35443,121,SourceSink12541,12254
209,Truck35747,72,SourceSink12253,13033
210,Truck35091,180,SourceSink12355,12656
211,Truck35320,144,SourceSink10000,12542
212,Truck34859,221,SourceSink12799,12625
213,Truck35085,183,SourceSink12749,12757
214,Truck35859,58,SourceSink13040,12253
215,Truck36021,31,SourceSink13012,13040
216,Truck36052,26,SourceSink12756,12757
217,Truck35184,170,SourceSink12624,12254
218,Truck35455,126,SourceSink12542,12656
219,Truck35753,77,SourceSink12355,12254
220,Truck35494,121,SourceSink12657,12756
221,Truck35737,81,SourceSink12656,12749
222,Truck35137,180,SourceSink12656,12355
223,Truck36133,14,SourceSink10000,12254
224,Truck35525,118,SourceSink12541,10000
225,Truck35654,96,SourceSink12542,12625
226,Truck36070,26,SourceSink13040,13023
227,Truck36186,6,SourceSink10000,11303
228,Truck34850,231,SourceSink13012,12870
229,Truck35511,121,SourceSink12254,12541
230,Truck36111,20,SourceSink13034,13033
231,Truck36145,14,SourceSink12254,10000
232,Truck34898,223,SourceSink10000,12800
233,Truck35527,121,SourceSink12756,12657
234,Truck35496,126,SourceSink12542,12656
235,Truck36147,17,SourceSink13012,13023
236,Truck36161,14,SourceSink13022,13033
237,Truck34872,231,SourceSink11303,12629
238,Truck35391,146,SourceSink13011,13040
239,Truck35396,146,SourceSink13040,13011
240,Truck35777,81,SourceSink12749,12656
241,Truck36039,37,SourceSink12657,12656
242,Truck35414,142,SourceSink11303,12542
243,Truck35990,45,SourceSink12629,12630
244,Truck35812,76,SourceSink12253,13023
245,Truck36077,32,SourceSink13040,13022
246,Truck36174,15,SourceSink12656,12630
247,Truck35190,180,SourceSink12624,10000
248,Truck36069,34,SourceSink12656,12625
249,Truck35161,186,SourceSink12542,12354
250,Truck35629,111,SourceSink12629,12749
251,Truck35941,55,SourceSink12354,12254
252,Truck35071,202,SourceSink12625,12757
253,Truck36198,14,SourceSink13022,13033
254,Truck35545,126,SourceSink12542,12656
255,Truck34981,220,SourceSink13040,12800
256,Truck35110,197,SourceSink13012,12800
257,Truck35842,77,SourceSink13040,12871
258,Truck34871,239,SourceSink11302,12757
259,Truck35790,86,SourceSink10000,12355
260,Truck35849,76,SourceSink12254,12355
261,Truck34986,221,SourceSink12624,12354
262,Truck35383,156,SourceSink12541,12354
263,Truck35821,82,SourceSink13022,12253
264,Truck34925,232,SourceSink13022,12870
265,Truck35972,59,SourceSink13033,12871
266,Truck36024,50,SourceSink11303,12354
267,Truck36195,22,SourceSink13040,13033
268,Truck35058,213,SourceSink12355,12657
269,Truck36277,9,SourceSink13022,13012
270,Truck36150,32,SourceSink13040,13022
271,Truck35129,202,SourceSink13033,12800
272,Truck36285,9,SourceSink13012,13022
273,Truck35424,156,SourceSink12354,12541
274,Truck35980,62,SourceSink12542,12355
275,Truck35999,58,SourceSink12253,13040
276,Truck35605,128,SourceSink13033,13011
277,Truck36033,55,SourceSink13022,12871
278,Truck34845,254,SourceSink13040,12870
279,Truck35912,75,SourceSink12871,13034
280,Truck36281,12,SourceSink11303,12254
281,Truck35794,97,SourceSink12355,12624
282,Truck35162,202,SourceSink12799,12630
283,Truck35295,182,SourceSink12625,12750
284,Truck35728,109,SourceSink12541,12800
285,Truck35938,72,SourceSink13033,12253
286,Truck34876,252,SourceSink13034,12870
287,Truck36122,43,SourceSink12624,12542
288,Truck36206,29,SourceSink13034,13012
289,Truck36234,24,SourceSink12750,12757
290,Truck36059,55,SourceSink12254,12354
291,Truck36250,24,SourceSink13034,13023
292,Truck36308,14,SourceSink13022,13033
293,Truck35004,233,SourceSink10000,12625
294,Truck36286,18,SourceSink13022,13023
295,Truck35242,194,SourceSink12657,12624
296,Truck34846,261,SourceSink11303,12656
297,Truck35399,172,SourceSink12757,12656
298,Truck35956,77,SourceSink13040,12871
299,Truck35264,194,SourceSink12657,12624
300,Truck35720,118,SourceSink12541,10000
301,Truck36330,14,SourceSink13033,13022
302,Truck35049,231,SourceSink11303,12625
303,Truck35407,172,SourceSink12757,12656
304,Truck36333,14,SourceSink12254,10000
305,Truck36338,14,SourceSink13022,13033
306,Truck36374,6,SourceSink11303,10000
307,Truck35089,223,SourceSink10000,12800
308,Truck35059,231,SourceSink13012,12870
309,Truck35356,183,SourceSink12757,12749
310,Truck35639,135,SourceSink12542,12254
311,Truck35940,82,SourceSink12253,13022
312,Truck34829,270,SourceSink12253,12800
313,Truck35355,184,SourceSink12756,12629
314,Truck35631,139,SourceSink12757,12657
315,Truck35963,81,SourceSink13012,12253
316,Truck36144,50,SourceSink11303,12354
317,Truck35241,202,SourceSink12630,12799
318,Truck35880,96,SourceSink12625,12542
319,Truck36301,26,SourceSink13040,13023
320,Truck36342,18,SourceSink13022,13023
321,Truck36023,75,SourceSink13034,12871
322,Truck36193,45,SourceSink12756,12799
323,Truck34832,273,SourceSink12656,12541
324,Truck34902,261,SourceSink12354,12800
325,Truck35409,178,SourceSink11303,12624
326,Truck35270,202,SourceSink12355,12800
327,Truck36042,75,SourceSink13034,12871
328,Truck36131,59,SourceSink13033,12871
329,Truck36320,26,SourceSink13023,13040
330,Truck36385,14,SourceSink10000,12254
331,Truck35417,180,SourceSink12624,10000
332,Truck36461,4,SourceSink12625,12629
333,Truck36005,81,SourceSink12253,13012
334,Truck36223,45,SourceSink12630,12625
335,Truck34857,274,SourceSink12750,12542
336,Truck34928,261,SourceSink12354,12800
337,Truck34930,261,SourceSink12756,11302
338,Truck35192,218,SourceSink13034,12800
339,Truck36229,45,SourceSink12625,12630
340,Truck35010,252,SourceSink13034,12870
341,Truck36403,17,SourceSink13012,13023
342,Truck35863,111,SourceSink12749,12625
343,Truck36446,12,SourceSink12254,11303
344,Truck34879,276,SourceSink12756,12542
345,Truck36135,67,SourceSink12625,12657
346,Truck35155,231,SourceSink13012,12870
347,Truck35649,150,SourceSink12629,12355
348,Truck35047,252,SourceSink12870,13034
349,Truck35470,180,SourceSink12355,12656
350,Truck35626,156,SourceSink12354,12541
351,Truck36396,24,SourceSink12757,12750
352,Truck36468,13,SourceSink13012,13033
353,Truck35286,213,SourceSink12355,12657
354,Truck36225,55,SourceSink13022,12871
355,Truck35754,137,SourceSink12542,12630
356,Truck36213,59,SourceSink12871,13033
357,Truck36231,56,SourceSink13034,12253
358,Truck35147,238,SourceSink12624,12749
359,Truck35817,128,SourceSink13033,13011
360,Truck36132,75,SourceSink13034,12871
361,Truck36531,9,SourceSink13012,13022
362,Truck35263,221,SourceSink12625,12799
363,Truck35630,163,SourceSink12630,12750
364,Truck35752,142,SourceSink11303,12542
365,Truck35831,128,SourceSink12355,12354
366,Truck36162,72,SourceSink13033,12253
367,Truck35072,257,SourceSink12870,10000
368,Truck35097,252,SourceSink12870,13034
369,Truck35221,233,SourceSink12629,10000
370,Truck35763,145,SourceSink12542,10000
371,Truck36271,58,SourceSink12253,13040
372,Truck34985,274,SourceSink12542,12750
373,Truck35065,261,SourceSink11302,12756
374,Truck36280,58,SourceSink13040,12253
375,Truck34827,303,SourceSink13022,12541
376,Truck35555,183,SourceSink12630,12757
377,Truck35562,182,SourceSink12625,12750
378,Truck36561,14,SourceSink10000,12254
379,Truck35207,239,SourceSink11302,12757
380,Truck35563,183,SourceSink12757,12749
381,Truck35789,144,SourceSink13034,13011
382,Truck35141,252,SourceSink13034,12870
383,Truck35569,183,SourceSink12757,12630
384,Truck36328,52,SourceSink12354,10000
385,Truck36455,32,SourceSink13022,13040
386,Truck34825,306,SourceSink12541,12657
387,Truck35233,239,SourceSink11302,12757
388,Truck35343,221,SourceSink11303,12800
389,Truck35896,127,SourceSink12253,12871
390,Truck34860,302,SourceSink13012,12541
391,Truck35104,261,SourceSink12800,12354
392,Truck35526,194,SourceSink12657,12624
393,Truck35477,202,SourceSink12629,12757
394,Truck35979,118,SourceSink12541,10000
395,Truck36420,43,SourceSink12624,12542
396,Truck36496,32,SourceSink13022,13040
397,Truck36597,17,SourceSink13023,13012
398,Truck35120,261,SourceSink11302,12756
399,Truck35291,236,SourceSink13033,12870
400,Truck35514,198,SourceSink13022,12800
401,Truck34890,302,SourceSink12541,13012
402,Truck35145,260,SourceSink12542,12800
403,Truck35315,233,SourceSink10000,12629
404,Truck36046,111,SourceSink12629,12749
405,Truck36257,75,SourceSink13034,12871
406,Truck35168,257,SourceSink12749,12355
407,Truck34899,303,SourceSink13022,12541
408,Truck35339,231,SourceSink12870,13012
409,Truck35644,180,SourceSink12624,10000
410,Truck36453,43,SourceSink12799,12750
411,Truck35149,261,SourceSink11302,12756
412,Truck35814,152,SourceSink12750,12656
413,Truck35986,123,SourceSink13012,13011
414,Truck36391,54,SourceSink13012,12871
415,Truck34966,294,SourceSink12757,12542
416,Truck35178,259,SourceSink11302,12750
417,Truck36631,18,SourceSink13022,13023
418,Truck35180,260,SourceSink12254,12870
419,Truck35635,186,SourceSink12542,12354
420,Truck36399,56,SourceSink13034,12253
421,Truck36666,12,SourceSink12254,11303
422,Truck36001,124,SourceSink13022,13011
423,Truck36168,96,SourceSink12625,12542
424,Truck36611,24,SourceSink12750,12757
425,Truck35103,274,SourceSink12750,12542
426,Truck35211,257,SourceSink12870,10000
427,Truck35967,131,SourceSink12624,12625
428,Truck36481,45,SourceSink12629,12630
429,Truck35050,286,SourceSink12254,12657
430,Truck35882,146,SourceSink13040,13011
431,Truck36418,55,SourceSink12354,12254
432,Truck36589,30,SourceSink13022,13034
433,Truck35541,206,SourceSink13023,12800
434,Truck35268,252,SourceSink13034,12870
435,Truck35838,156,SourceSink12354,12541
436,Truck36381,63,SourceSink13023,12871
437,Truck36691,13,SourceSink13012,13033
438,Truck34889,315,SourceSink12354,12630
439,Truck35426,226,SourceSink12254,12800
440,Truck36392,62,SourceSink12355,12542
441,Truck35695,182,SourceSink12750,12629
442,Truck35456,223,SourceSink12629,12254
443,Truck34863,323,SourceSink13034,12541
444,Truck34979,303,SourceSink13022,12541
445,Truck35577,206,SourceSink13023,12800
446,Truck35236,261,SourceSink11302,12756
447,Truck35600,202,SourceSink12630,12799
448,Truck36475,54,SourceSink13012,12871
449,Truck36777,4,SourceSink12625,12629
450,Truck34992,303,SourceSink12541,13022
451,Truck35299,254,SourceSink13040,12870
452,Truck36080,121,SourceSink12541,12254
453,Truck36343,76,SourceSink13023,12253
454,Truck36661,24,SourceSink12750,12757
455,Truck35492,221,SourceSink12624,12354
456,Truck35318,252,SourceSink12871,12541
457,Truck35413,236,SourceSink13033,12870
458,Truck35504,221,SourceSink12629,12799
459,Truck36792,6,SourceSink13040,13034
460,Truck34978,309,SourceSink12624,12750
461,Truck36134,116,SourceSink11303,12541
462,Truck36723,18,SourceSink13022,13023
463,Truck35069,294,SourceSink11303,12657
464,Truck35342,252,SourceSink13034,12870
465,Truck35970,146,SourceSink13011,13040
466,Truck36101,124,SourceSink13022,13011
467,Truck34811,340,SourceSink10000,12749
468,Truck35204,274,SourceSink12625,12354
469,Truck35651,202,SourceSink12799,12749
470,Truck36154,116,SourceSink12541,11303
471,Truck36562,50,SourceSink11303,12354
472,Truck34884,330,SourceSink12355,12756
473,Truck35086,295,SourceSink12870,12354
474,Truck35205,276,SourceSink12756,12542
475,Truck35325,257,SourceSink10000,12870
476,Truck35891,161,SourceSink12624,12656
477,Truck36539,55,SourceSink13022,12871
478,Truck35249,270,SourceSink12800,12253
479,Truck36051,137,SourceSink12630,12542
480,Truck36614,43,SourceSink12624,12542
481,Truck35609,213,SourceSink12355,12657
482,Truck35998,146,SourceSink13040,13011
483,Truck36495,63,SourceSink12871,13023
484,Truck35934,156,SourceSink12541,12354
485,Truck36557,55,SourceSink12354,12254
486,Truck36785,17,SourceSink13012,13023
487,Truck35395,252,SourceSink13034,12870
488,Truck35686,202,SourceSink12630,12799
489,Truck35123,295,SourceSink12624,12800
490,Truck35767,190,SourceSink12624,12541
491,Truck36442,75,SourceSink12871,13034
492,Truck36690,34,SourceSink12629,12656
493,Truck36698,34,SourceSink12629,12656
494,Truck35495,236,SourceSink12355,12870
495,Truck35596,221,SourceSink11303,12800
496,Truck35918,165,SourceSink12749,12756
497,Truck36581,56,SourceSink13034,12253
498,Truck34944,328,SourceSink12750,12355
499,Truck35279,274,SourceSink10000,12630
500,Truck35280,274,SourceSink12542,12750
501,Truck36050,145,SourceSink12542,10000
502,Truck36451,77,SourceSink13040,12871
503,Truck36830,14,SourceSink10000,12254
504,Truck34936,330,SourceSink12355,12756
505,Truck35099,303,SourceSink13022,12541
506,Truck36335,96,SourceSink12629,12542
507,Truck36890,6,SourceSink13034,13040
508,Truck35352,264,SourceSink12254,12630
509,Truck35760,196,SourceSink12253,13011
510,Truck35102,304,SourceSink12354,12656
511,Truck35125,302,SourceSink13012,12541
512,Truck35554,233,SourceSink12625,10000
513,Truck36166,128,SourceSink12355,12354
514,Truck36454,81,SourceSink13012,12253
515,Truck35070,313,SourceSink12542,12799
516,Truck35523,239,SourceSink11302,12757
517,Truck36652,50,SourceSink11303,12354
518,Truck35322,274,SourceSink12625,12354
519,Truck36619,58,SourceSink13040,12253
520,Truck36847,20,SourceSink13034,13033
521,Truck34878,348,SourceSink12355,12757
522,Truck35031,323,SourceSink12541,13034
523,Truck35791,196,SourceSink12253,13011
524,Truck36505,76,SourceSink12254,12355
525,Truck36632,56,SourceSink13034,12253
526,Truck35625,226,SourceSink12254,12800
527,Truck36482,81,SourceSink12656,12749
528,Truck35362,270,SourceSink12253,12800
529,Truck35461,254,SourceSink13040,12870
530,Truck36387,96,SourceSink12542,12629
531,Truck35604,232,SourceSink13022,12870
532,Truck36049,156,SourceSink12354,12541
533,Truck36236,124,SourceSink13022,13011
534,Truck36870,20,SourceSink13033,13034
535,Truck36899,14,SourceSink13022,13033
536,Truck35410,264,SourceSink12254,12630
537,Truck36797,32,SourceSink13022,13040
538,Truck36814,29,SourceSink13012,13034
539,Truck34963,338,SourceSink11303,12749
540,Truck35582,238,SourceSink12749,12624
541,Truck36093,150,SourceSink12629,12355
542,Truck35598,236,SourceSink13033,12870
543,Truck35677,221,SourceSink11303,12800
544,Truck35855,191,SourceSink12355,12630
545,Truck36817,31,SourceSink13040,13012
546,Truck35447,260,SourceSink12254,12870
547,Truck35803,202,SourceSink12757,12625
548,Truck36868,24,SourceSink12757,12750
549,Truck34938,345,SourceSink12871,12355
550,Truck35191,303,SourceSink13022,12541
551,Truck36253,126,SourceSink12542,12656
552,Truck35442,263,SourceSink10000,12656
553,Truck36427,97,SourceSink12355,12624
554,Truck35580,243,SourceSink12541,12629
555,Truck36123,150,SourceSink12625,12355
556,Truck35256,296,SourceSink12657,10000
557,Truck35844,198,SourceSink13022,12800
558,Truck36931,17,SourceSink13012,13023
559,Truck36951,14,SourceSink13033,13022
560,Truck36845,34,SourceSink12629,12656
561,Truck35066,330,SourceSink12254,12749
562,Truck35227,304,SourceSink12354,12656
563,Truck35977,178,SourceSink11303,12624
564,Truck35418,274,SourceSink12630,10000
565,Truck35519,257,SourceSink12749,12355
566,Truck35757,218,SourceSink13034,12800
567,Truck35189,311,SourceSink12541,13023
568,Truck35727,223,SourceSink12254,12629
569,Truck36711,58,SourceSink13040,12253
570,Truck36757,50,SourceSink11303,12354
571,Truck36876,32,SourceSink13022,13040
572,Truck36961,17,SourceSink13023,13012
573,Truck35306,295,SourceSink12354,12870
574,Truck35428,274,SourceSink12625,12354
575,Truck35968,183,SourceSink12757,12749
576,Truck35454,270,SourceSink12253,12800
577,Truck35564,254,SourceSink13040,12870
578,Truck35235,309,SourceSink12750,12624
579,Truck35502,264,SourceSink12254,12630
580,Truck35873,202,SourceSink12625,12757
581,Truck35909,196,SourceSink12253,13011
582,Truck36365,118,SourceSink10000,12541
583,Truck36758,55,SourceSink12354,12254
584,Truck37042,6,SourceSink12756,12750
585,Truck35013,348,SourceSink12624,12799
586,Truck35784,220,SourceSink13040,12800
587,Truck35905,198,SourceSink13022,12800
588,Truck35544,261,SourceSink11303,12656
589,Truck35308,302,SourceSink13012,12541
590,Truck36804,50,SourceSink11303,12354
591,Truck35820,216,SourceSink12800,13011
592,Truck36360,124,SourceSink13022,13011
593,Truck36910,34,SourceSink12656,12629
594,Truck35255,311,SourceSink12541,13023
595,Truck35586,258,SourceSink11302,12799
596,Truck36990,22,SourceSink13040,13033
597,Truck37001,20,SourceSink13034,13033
598,Truck35493,274,SourceSink12630,10000
599,Truck36678,75,SourceSink13034,12871
600,Truck34931,367,SourceSink12799,12355
601,Truck34950,364,SourceSink11303,12871
602,Truck36182,159,SourceSink12657,12542
603,Truck36202,155,SourceSink12541,12542
604,Truck35336,303,SourceSink13022,12541
605,Truck36599,92,SourceSink12749,12630
606,Truck36798,58,SourceSink13040,12253
607,Truck35448,284,SourceSink12541,12630
608,Truck36181,161,SourceSink12624,12656
609,Truck36191,159,SourceSink12542,12657
610,Truck37033,18,SourceSink13022,13023
611,Truck35338,304,SourceSink12354,12656
612,Truck35827,223,SourceSink12800,10000
613,Truck37022,22,SourceSink13040,13033
614,Truck37113,6,SourceSink12756,12750
615,Truck34969,366,SourceSink10000,12871
616,Truck36088,180,SourceSink12355,12656
617,Truck36501,111,SourceSink12629,12749
618,Truck36838,56,SourceSink13034,12253
619,Truck36883,48,SourceSink12657,12749
620,Truck35840,223,SourceSink12629,12254
621,Truck36840,56,SourceSink12253,13034
622,Truck35376,302,SourceSink12541,13012
623,Truck37032,23,SourceSink12799,12757
624,Truck35561,273,SourceSink12541,12656
625,Truck36089,183,SourceSink12749,12757
626,Truck35798,233,SourceSink10000,12625
627,Truck37085,17,SourceSink13012,13023
628,Truck35229,329,SourceSink12757,12624
629,Truck36054,191,SourceSink12656,12799
630,Truck35991,202,SourceSink12630,12799
631,Truck36212,165,SourceSink12756,12630
632,Truck34955,375,SourceSink12253,12541
633,Truck36628,97,SourceSink12355,12541
634,Truck36764,75,SourceSink13034,12871
635,Truck37159,6,SourceSink13034,13040
636,Truck36893,54,SourceSink12871,13012
637,Truck35284,325,SourceSink13040,12541
638,Truck35591,274,SourceSink12542,12750
639,Truck36424,132,SourceSink13011,13023
640,Truck36695,87,SourceSink12355,10000
641,Truck36970,43,SourceSink12799,12750
642,Truck34818,403,SourceSink12542,12871
643,Truck36467,127,SourceSink12253,12871
644,Truck36799,72,SourceSink12253,13033
645,Truck35476,294,SourceSink12542,12870
646,Truck35929,218,SourceSink13034,12800
647,Truck36894,58,SourceSink13040,12253
648,Truck35615,274,SourceSink12354,12625
649,Truck36913,56,SourceSink13034,12253
650,Truck35228,338,SourceSink12749,11303
651,Truck35872,231,SourceSink12625,11303
652,Truck36340,150,SourceSink12355,12629
653,Truck37068,29,SourceSink13034,13012
654,Truck36115,190,SourceSink12624,12541
655,Truck36556,118,SourceSink10000,12541
656,Truck35321,325,SourceSink12541,13040
657,Truck35636,274,SourceSink12625,12354
658,Truck35748,255,SourceSink12870,11303
659,Truck36121,191,SourceSink12355,12630
660,Truck36968,50,SourceSink11303,12354
661,Truck36252,170,SourceSink12254,12624
662,Truck35702,264,SourceSink12254,12630
663,Truck36197,180,SourceSink12656,12355
