,VehicleID,Travel_Time,Startpoint,Endpoint
0,Truck34843,9,SourceSink13022,13012
1,Truck34837,14,SourceSink13033,13022
2,Truck34893,6,SourceSink13034,13040
3,Truck34842,17,SourceSink13012,13023
4,Truck34908,6,SourceSink10000,11303
5,Truck34880,14,SourceSink13022,13033
6,Truck34887,13,SourceSink13012,13033
7,Truck34839,22,SourceSink13040,13033
8,Truck34911,9,SourceSink13022,13012
9,Truck34897,17,SourceSink13023,13012
10,Truck34924,13,SourceSink13012,13033
11,Truck34920,14,SourceSink10000,12254
12,Truck34982,6,SourceSink11303,10000
13,Truck34946,14,SourceSink13022,13033
14,Truck34971,14,SourceSink12254,10000
15,Truck34914,24,SourceSink13034,13023
16,Truck35040,6,SourceSink13034,13040
17,Truck34991,14,SourceSink12254,10000
18,Truck34910,29,SourceSink13012,13034
19,Truck34935,26,SourceSink13040,13023
20,Truck34947,24,SourceSink13034,13023
21,Truck35007,15,SourceSink12656,12630
22,Truck35033,14,SourceSink13022,13033
23,Truck34968,26,SourceSink13023,13040
24,Truck34974,31,SourceSink13012,13040
25,Truck34956,34,SourceSink12625,12656
26,Truck35079,14,SourceSink12254,10000
27,Truck35020,29,SourceSink13034,13012
28,Truck34815,63,SourceSink13023,12871
29,Truck34905,48,SourceSink12657,12630
30,Truck34994,34,SourceSink12625,12656
31,Truck35064,22,SourceSink13040,13033
32,Truck34869,58,SourceSink13040,12253
33,Truck35142,14,SourceSink10000,12254
34,Truck35158,12,SourceSink11303,12254
35,Truck35127,22,SourceSink13040,13033
36,Truck35225,6,SourceSink10000,11303
37,Truck34915,58,SourceSink12253,13040
38,Truck35080,34,SourceSink12629,12656
39,Truck35266,13,SourceSink13012,13033
40,Truck35042,52,SourceSink12354,10000
41,Truck35076,45,SourceSink12625,12630
42,Truck35206,24,SourceSink13034,13023
43,Truck35210,24,SourceSink12757,12750
44,Truck35283,18,SourceSink13023,13022
45,Truck35212,29,SourceSink13012,13034
46,Truck35055,58,SourceSink13040,12253
47,Truck35298,20,SourceSink13034,13033
48,Truck34940,82,SourceSink13022,12253
49,Truck35247,32,SourceSink13022,13040
50,Truck35101,55,SourceSink12254,12354
51,Truck34865,97,SourceSink12355,12541
52,Truck35230,38,SourceSink12800,12870
53,Truck35198,43,SourceSink12624,12542
54,Truck35392,13,SourceSink13012,13033
55,Truck34886,97,SourceSink12624,12355
56,Truck35011,76,SourceSink12253,13023
57,Truck34904,96,SourceSink12542,12629
58,Truck35151,55,SourceSink12354,12254
59,Truck35163,55,SourceSink12871,13022
60,Truck35188,50,SourceSink11303,12354
61,Truck35458,9,SourceSink13012,13022
62,Truck35474,9,SourceSink13012,13022
63,Truck35062,81,SourceSink13012,12253
64,Truck35209,56,SourceSink12253,13034
65,Truck35464,17,SourceSink13012,13023
66,Truck35075,81,SourceSink12253,13012
67,Truck35111,76,SourceSink13023,12253
