Scenario,Average (min),Low bound (min),High bound (min),Interval range (min),Economic interval (%)
A,230.74378197529722,229.56601732355446,231.92154662704,2.3555293034855254,1.0208419413606133
B,302.23706352872784,300.71852760959047,303.7555994478652,3.0370718382747555,1.0048641297714564
C,865.5015540802565,861.4043257432836,869.5987824172294,8.194456673945751,0.9467870548948654
D,1256.6849575192828,1251.1776081239727,1262.1923069145928,11.01469879062006,0.8764884726847737
