road,condition,amount
N1,A,431
N1,B,115
N1,C,88
N1,D,6
N102,A,52
N102,B,24
N102,C,12
N102,D,1
N104,A,17
N104,B,12
N104,C,9
N104,D,1
N105,A,44
N105,C,1
N107,D,4
N107,A,3
N107,B,3
N107,C,1
N108,A,37
N108,B,5
N108,C,2
N110,A,16
N110,C,2
N110,B,1
N2,A,398
N2,B,42
N2,C,24
N204,A,20
N204,C,6
N204,B,5
N204,D,1
N206,A,1
N206,B,1
N207,A,42
N207,B,14
N207,C,9
N207,D,2
N209,A,1
