,road,id,model_type,name,lat,lon,length,condition,length_class
469,N1,LRP264ar,link,road234,22.26010648015545,92.0077073538402,230.20000000000454,-,-
470,N1,LRP264c,bridge,AJIMPUR CUL,22.2590515857142,92.0081111238095,9.8,C,S
471,N1,LRP264cr,link,road235,22.2569945340884,92.0092066262704,512.1999999999914,-,-
472,N1,LRP265a,bridge,MOJAFFARABAD,22.2549374824626,92.0103021287313,9.2,A,S
473,N1,LRP265ar,link,road236,22.25402872193035,92.0111370008398,259.80000000000547,-,-
474,N1,LRP265b,bridge,MOJAFFORABAD BOX CULVERT,22.2531199613981,92.0119718729483,6.0,A,S
475,N1,LRP265br,link,road237,22.25091648815715,92.01390298776789,645.9999999999868,-,-
476,N1,LRP267a,bridge,MOJAFFORABAD,22.2487130149162,92.0158341025875,9.4,A,S
477,N1,LRP267ar,link,road238,22.2445495862681,92.01881296809955,1238.5999999999904,-,-
478,N1,LRP268a,bridge,ROWSONAT CUL,22.24038615762,92.0217918336116,14.0,A,M
479,N1,LRP268ar,link,road239,22.2385103554287,92.0225282912662,452.0000000000082,-,-
480,N1,LRP268b,bridge,KANCHANAGAR CUL,22.2366345532374,92.0232647489208,14.0,A,M
481,N1,LRP268br,link,road240,22.23406618796125,92.02411520501595,637.9999999999868,-,-
482,N1,LRP269a,bridge,KHANCHANAGAR BADAMTOLA,22.2314978226851,92.0249656611111,12.6,B,M
483,N1,LRP269ar,link,road241,22.22877933777275,92.0257153484045,422.40000000000225,-,-
484,N1,LRP269c,bridge,NORTH JOARA PAKKAR DOKAN,22.2260608528604,92.0264650356979,9.4,B,S
485,N1,LRP269cr,link,road242,22.22416642132815,92.02692181682849,425.6000000000023,-,-
486,N1,LRP270a,bridge,GASBAREA BOX CULVERT,22.2222719897959,92.0273785979591,14.0,A,M
487,N1,LRP270ar,link,road243,22.21892967014065,92.02820081868825,768.0000000000391,-,-
488,N1,LRP271a,bridge,GASBAREA COLLEGE BOX CULVERT,22.2155873504854,92.0290230394174,9.2,A,S
489,N1,LRP271ar,link,road244,22.21134500216575,92.0326777546737,1273.7999999999586,-,-
490,N1,LRP272a,bridge,Mazar Point Bridge,22.2071026538461,92.03633246993,50.8,D,L
491,N1,LRP272ar,link,road245,22.206043206813348,92.0373318519668,287.20000000002227,-,-
492,N1,LRP272c,bridge,KHOLGHAR CUL,22.2049837597806,92.0383312340036,9.2,B,S
493,N1,LRP272cr,link,road246,22.189450827655648,92.0458118887895,4008.7999999999724,-,-
494,N1,LRP276a,bridge,NOYARHAT,22.1739178955307,92.0532925435754,12.3,B,M
495,N1,LRP276ar,link,road247,22.1662725880879,92.06074942662639,2682.70000000005,-,-
496,N1,LRP279a,bridge,SANGO BRIDGE DOMAJAR,22.1586272806451,92.0682063096774,211.3,C,XL
497,N1,LRP279ar,link,road248,22.1542397976041,92.06891969076099,928.6999999999864,-,-
498,N1,LRP280a,bridge,KATGOR CULVERT,22.1498523145631,92.0696330718446,9.2,A,S
499,N1,LRP280ar,link,road249,22.1434022737486,92.06978159999414,1436.7999999999695,-,-
500,N1,LRP282a,bridge,MOULOVER DOKAN,22.1369522329341,92.0699301281437,12.4,A,M
501,N1,LRP282ar,link,road250,22.1347365378956,92.07004333239479,487.6,-,-
502,N1,LRP282c,bridge,PATATR PULL CULVERT,22.1325208428571,92.0701565366459,15.4,A,M
503,N1,LRP282cr,link,road251,22.131218435714253,92.07037950403719,282.60000000000184,-,-
504,N1,LRP282e,bridge,Pathanerpul Bridge,22.1299160285714,92.0706024714285,33.65,A,M
505,N1,LRP282er,link,road252,22.12882491480115,92.07080184952865,219.3499999999859,-,-
506,N1,LRP283a,bridge,NOYAKHALAR MUK,22.1277338010309,92.0710012276288,28.0,A,M
507,N1,LRP283ar,link,road253,22.125405700001302,92.0713511379789,485.00000000003365,-,-
