,road,id,model_type,name,lat,lon,length,condition
592,N1,LRP314a,bridge,GHOIL MARA BOX CULVERT,21.8812215213685,92.0590015447779,9.3,A
593,N1,LRP314ar,link,road298,21.8705970505491,92.0595961266682,1099.7000000000373,-
594,N1,LRP315a,bridge,HARBANG,21.8751197401574,92.0591098413385,3.0,A
595,N1,LRP315ar,link,road299,21.8640242651063,92.06003373061395,682.9999999999786,-
596,N1,LRP316a,bridge,HARBANG,21.8628351415656,92.0594848712238,3.0,A
597,N1,LRP316ar,link,road300,21.85684733694,92.06021700286081,1390.000000000029,-
598,N1,LRP317a,bridge,Harbang Chora Bridge,21.8599725797297,92.0601907085585,56.2,C
599,N1,LRP317ar,link,road301,21.851471326954048,92.06189458620409,267.79999999995545,-
600,N1,LRP318a,bridge,ALIPUR BOX CULVERT,21.8529287900552,92.0609576198894,14.3,A
601,N1,LRP318ar,link,road302,21.84666117918905,92.06294508354715,777.7000000000301,-
602,N1,LRP318b,bridge,HARBANG,21.8508595323144,92.0609491344978,2.1,A
603,N1,LRP318br,link,road303,21.8424814238005,92.0646113627903,228.89999999999455,-
604,N1,LRP319a,bridge,HAR BAG BOX CULVERT,21.8429700741784,92.0635984638497,4.5,A
605,N1,LRP319ar,link,road304,21.83549794780345,92.0674510093058,959.4999999999986,-
606,N1,LRP319b,bridge,HAR BAG BOX CULVERT,21.8403935683229,92.0649325472049,3.0,A
607,N1,LRP319br,link,road305,21.83308837446755,92.06863958771811,319.9999999999791,-
608,N1,LRP320a,bridge,ATKOTA,21.8341033152866,92.0682735910828,15.8,A
609,N1,LRP320ar,link,road306,21.82762309516745,92.07114686498045,780.2000000000492,-
610,N1,LRP321a,bridge,AKOTA BAZAR BOX CULVERT,21.8280258214285,92.0713035547619,7.3,A
611,N1,LRP321ar,link,road307,21.823097540824698,92.0726238950605,704.6999999999891,-
612,N1,LRP321b,bridge,Bodoitola Bridge,21.8257831806122,92.0723466282313,45.0,C
613,N1,LRP321br,link,road308,21.81460349158815,92.0747894205259,231.00000000001046,-
