,Average (min),Low bound (min),High bound (min),Interval range (min),Economic interval (%)
0,780.0009394081728,775.2467976734655,784.7550811428802,9.508283469414664,1.2190092330695257
6,858.3743491110381,853.6613349111068,863.0873633109694,9.426028399862616,1.0981255916634198
12,874.6049853292018,870.1584277785522,879.0515428798514,8.893115101299145,1.0168150479901246
18,953.2343485508277,948.5755891788658,957.8931079227896,9.317518743923756,0.9774635962383109
24,1030.7405678677076,1026.2270749855475,1035.2540607498677,9.026985764320216,0.8757767032488434
30,1037.3958330864314,1032.7324213639743,1042.0592448088885,9.326823444914226,0.8990612018524614
36,1011.8402163339047,1007.3650710101059,1016.3153616577034,8.950290647597512,0.8845557335155315
42,1101.747450439821,1096.8060661320762,1106.6888347475658,9.882768615489567,0.8970085305433959
48,1111.3635808654988,1106.495641178904,1116.2315205520936,9.735879373189618,0.876030089595665
