,Average (min),Low bound (min),High bound (min),Interval range (min),Economic interval (%)
5,1030.7405678677076,1026.2270749855475,1035.2540607498677,9.026985764320216,0.8757767032488434
10,1002.2255940035658,999.0694769686631,1005.3817110384684,6.312234069805299,0.6298216796270363
15,992.153112153835,989.587301863726,994.7189224439439,5.131620580217941,0.5172206302994768
20,991.5325143697772,989.3068668563018,993.7581618832527,4.451295026950902,0.44893081794500367
25,996.2689433560207,994.2611272287756,998.2767594832658,4.015632254490129,0.4030670915990931
