,VehicleID,Travel_Time
0,Truck12,21
1,Truck40,21
2,Truck54,21
3,Truck68,21
4,Truck24,39
5,Truck82,21
6,Truck96,21
7,Truck52,39
8,Truck36,51
9,Truck124,21
10,Truck50,51
11,Truck152,21
12,Truck78,51
13,Truck166,21
14,Truck92,51
15,Truck7,86
16,Truck106,51
17,Truck194,21
18,Truck120,51
19,Truck208,21
20,Truck134,51
21,Truck222,21
22,Truck4,100
23,Truck10,101
24,Truck148,51
25,Truck63,86
26,Truck250,21
27,Truck20,103
28,Truck21,105
29,Truck38,101
30,Truck176,51
31,Truck26,107
32,Truck35,105
33,Truck46,100
34,Truck190,51
35,Truck49,105
36,Truck6,121
37,Truck66,101
38,Truck204,51
39,Truck3,124
40,Truck25,120
41,Truck74,100
42,Truck80,101
43,Truck119,86
44,Truck218,51
45,Truck306,21
46,Truck77,105
47,Truck88,100
48,Truck34,121
49,Truck94,101
50,Truck320,21
51,Truck11,133
52,Truck31,124
53,Truck91,105
54,Truck102,100
55,Truck48,121
56,Truck108,101
57,Truck246,51
58,Truck334,21
59,Truck45,124
60,Truck290,39
61,Truck105,105
62,Truck116,100
63,Truck62,121
64,Truck122,101
65,Truck260,51
66,Truck110,107
67,Truck39,133
68,Truck118,103
69,Truck59,124
70,Truck130,100
71,Truck76,121
72,Truck136,101
73,Truck274,51
74,Truck53,133
75,Truck132,103
76,Truck73,124
77,Truck318,39
78,Truck95,120
79,Truck133,105
80,Truck90,121
81,Truck150,101
82,Truck288,51
83,Truck138,107
84,Truck67,133
85,Truck146,103
86,Truck87,124
87,Truck332,39
88,Truck147,105
89,Truck104,121
90,Truck164,101
91,Truck81,133
92,Truck101,124
93,Truck346,39
94,Truck161,105
95,Truck178,101
96,Truck316,51
97,Truck404,21
98,Truck9,162
99,Truck115,124
100,Truck13,165
101,Truck137,120
102,Truck175,105
103,Truck186,100
104,Truck192,101
105,Truck231,86
106,Truck330,51
107,Truck23,162
108,Truck180,107
109,Truck109,133
110,Truck129,124
111,Truck27,165
112,Truck189,105
113,Truck200,100
114,Truck206,101
115,Truck344,51
116,Truck432,21
117,Truck37,162
118,Truck123,133
119,Truck202,103
120,Truck143,124
121,Truck41,165
122,Truck165,120
123,Truck203,105
124,Truck214,100
125,Truck160,121
126,Truck220,101
127,Truck446,21
128,Truck51,162
129,Truck55,165
130,Truck217,105
131,Truck228,100
132,Truck8,181
133,Truck174,121
134,Truck234,101
135,Truck372,51
136,Truck460,21
137,Truck65,162
138,Truck151,133
139,Truck69,165
140,Truck193,120
141,Truck242,100
142,Truck1,186
143,Truck22,181
144,Truck188,121
145,Truck248,101
146,Truck386,51
147,Truck79,162
148,Truck236,107
149,Truck244,103
150,Truck185,124
151,Truck83,165
152,Truck245,105
153,Truck15,186
154,Truck262,101
155,Truck400,51
156,Truck488,21
157,Truck93,162
158,Truck179,133
159,Truck258,103
160,Truck57,174
161,Truck444,39
162,Truck97,165
163,Truck259,105
164,Truck270,100
165,Truck18,191
166,Truck29,186
167,Truck216,121
168,Truck276,101
169,Truck414,51
170,Truck17,192
171,Truck107,162
172,Truck264,107
173,Truck213,124
174,Truck458,39
175,Truck111,165
176,Truck273,105
177,Truck284,100
178,Truck32,191
179,Truck43,186
180,Truck64,181
181,Truck230,121
182,Truck428,51
183,Truck121,162
184,Truck278,107
185,Truck207,133
186,Truck227,124
187,Truck125,165
188,Truck287,105
189,Truck304,101
190,Truck343,86
191,Truck135,162
192,Truck292,107
193,Truck221,133
194,Truck486,39
195,Truck139,165
196,Truck301,105
197,Truck312,100
198,Truck60,191
199,Truck71,186
200,Truck456,51
201,Truck544,21
202,Truck149,162
203,Truck235,133
204,Truck255,124
205,Truck153,165
206,Truck315,105
207,Truck85,186
208,Truck272,121
209,Truck470,51
210,Truck558,21
211,Truck163,162
212,Truck249,133
213,Truck328,103
214,Truck269,124
215,Truck167,165
216,Truck329,105
217,Truck99,186
218,Truck286,121
219,Truck385,86
220,Truck484,51
221,Truck572,21
222,Truck177,162
223,Truck263,133
224,Truck283,124
225,Truck181,165
226,Truck305,120
227,Truck354,100
228,Truck113,186
229,Truck300,121
230,Truck360,101
231,Truck191,162
232,Truck348,107
233,Truck277,133
234,Truck356,103
235,Truck155,174
236,Truck195,165
237,Truck319,120
238,Truck357,105
239,Truck368,100
240,Truck127,186
241,Truck314,121
242,Truck374,101
243,Truck512,51
244,Truck205,162
245,Truck362,107
246,Truck291,133
247,Truck5,234
248,Truck169,174
249,Truck311,124
250,Truck556,39
251,Truck371,105
252,Truck382,100
253,Truck141,186
254,Truck162,181
255,Truck388,101
256,Truck526,51
257,Truck219,162
258,Truck376,107
259,Truck19,234
260,Truck570,39
261,Truck47,225
262,Truck223,165
263,Truck396,100
264,Truck144,191
265,Truck342,121
266,Truck402,101
267,Truck628,21
268,Truck233,162
269,Truck390,107
270,Truck398,103
271,Truck33,234
272,Truck361,120
273,Truck399,105
274,Truck410,100
275,Truck158,191
276,Truck416,101
277,Truck554,51
278,Truck642,21
279,Truck157,192
280,Truck247,162
281,Truck333,133
282,Truck412,103
283,Truck251,165
284,Truck413,105
285,Truck172,191
286,Truck183,186
287,Truck317,141
288,Truck370,121
289,Truck430,101
290,Truck469,86
291,Truck568,51
292,Truck656,21
293,Truck171,192
294,Truck261,162
295,Truck418,107
296,Truck347,133
297,Truck426,103
298,Truck61,234
299,Truck225,174
300,Truck367,124
301,Truck612,39
302,Truck265,165
303,Truck427,105
304,Truck438,100
305,Truck197,186
306,Truck384,121
307,Truck483,86
308,Truck582,51
309,Truck275,162
310,Truck75,234
311,Truck239,174
312,Truck381,124
313,Truck279,165
314,Truck403,120
315,Truck441,105
316,Truck211,186
317,Truck232,181
318,Truck684,21
319,Truck199,192
320,Truck289,162
321,Truck375,133
322,Truck454,103
323,Truck89,234
324,Truck640,39
325,Truck293,165
326,Truck417,120
327,Truck455,105
328,Truck466,100
329,Truck472,101
330,Truck610,51
331,Truck303,162
332,Truck389,133
333,Truck468,103
334,Truck103,234
335,Truck307,165
336,Truck431,120
337,Truck480,100
338,Truck525,86
339,Truck474,107
340,Truck117,234
341,Truck423,124
342,Truck321,165
343,Truck253,186
344,Truck440,121
345,Truck500,101
346,Truck638,51
347,Truck726,21
348,Truck241,192
349,Truck331,162
350,Truck496,103
351,Truck131,234
352,Truck497,105
353,Truck508,100
354,Truck256,191
355,Truck267,186
356,Truck514,101
357,Truck652,51
358,Truck345,162
359,Truck502,107
360,Truck510,103
361,Truck145,234
362,Truck451,124
363,Truck349,165
364,Truck511,105
365,Truck522,100
366,Truck281,186
367,Truck302,181
368,Truck415,141
369,Truck528,101
370,Truck666,51
371,Truck754,21
372,Truck359,162
373,Truck516,107
374,Truck445,133
375,Truck159,234
376,Truck323,174
377,Truck465,124
378,Truck710,39
379,Truck363,165
380,Truck295,186
381,Truck482,121
382,Truck542,101
383,Truck680,51
384,Truck373,162
385,Truck530,107
386,Truck459,133
387,Truck538,103
388,Truck173,234
389,Truck479,124
390,Truck201,225
391,Truck377,165
392,Truck539,105
393,Truck550,100
394,Truck298,191
395,Truck309,186
396,Truck782,21
397,Truck297,192
398,Truck387,162
399,Truck473,133
400,Truck552,103
401,Truck187,234
402,Truck738,39
403,Truck391,165
404,Truck515,120
405,Truck553,105
406,Truck796,21
407,Truck401,162
408,Truck487,133
409,Truck507,124
410,Truck752,39
411,Truck229,225
412,Truck405,165
413,Truck567,105
414,Truck326,191
415,Truck337,186
416,Truck358,181
417,Truck524,121
418,Truck584,101
419,Truck722,51
420,Truck325,192
421,Truck501,133
422,Truck580,103
423,Truck215,234
424,Truck766,39
425,Truck243,225
426,Truck419,165
427,Truck581,105
428,Truck592,100
429,Truck340,191
430,Truck351,186
431,Truck598,101
432,Truck637,86
433,Truck736,51
434,Truck339,192
435,Truck429,162
436,Truck586,107
437,Truck535,124
438,Truck433,165
439,Truck595,105
440,Truck606,100
441,Truck365,186
442,Truck838,21
443,Truck353,192
444,Truck443,162
445,Truck600,107
446,Truck529,133
447,Truck549,124
448,Truck794,39
449,Truck271,225
450,Truck447,165
451,Truck609,105
452,Truck620,100
453,Truck379,186
454,Truck566,121
455,Truck626,101
456,Truck764,51
457,Truck457,162
458,Truck614,107
459,Truck543,133
460,Truck257,234
461,Truck421,174
462,Truck563,124
463,Truck461,165
464,Truck585,120
465,Truck623,105
466,Truck393,186
467,Truck679,86
468,Truck778,51
469,Truck471,162
470,Truck557,133
471,Truck577,124
472,Truck475,165
473,Truck407,186
474,Truck594,121
475,Truck654,101
476,Truck792,51
477,Truck395,192
478,Truck485,162
479,Truck571,133
480,Truck650,103
481,Truck285,234
482,Truck489,165
483,Truck651,105
484,Truck662,100
485,Truck442,181
486,Truck608,121
487,Truck668,101
488,Truck806,51
489,Truck409,192
490,Truck499,162
491,Truck664,103
492,Truck299,234
493,Truck605,124
494,Truck850,39
495,Truck503,165
496,Truck665,105
497,Truck424,191
498,Truck435,186
499,Truck622,121
500,Truck682,101
501,Truck820,51
502,Truck908,21
503,Truck513,162
504,Truck670,107
505,Truck599,133
506,Truck678,103
507,Truck313,234
508,Truck477,174
509,Truck619,124
510,Truck517,165
511,Truck449,186
512,Truck636,121
513,Truck696,101
514,Truck735,86
515,Truck834,51
516,Truck437,192
517,Truck527,162
518,Truck613,133
519,Truck327,234
520,Truck633,124
521,Truck878,39
522,Truck531,165
523,Truck693,105
524,Truck704,100
525,Truck452,191
526,Truck463,186
527,Truck848,51
528,Truck936,21
529,Truck541,162
530,Truck698,107
531,Truck627,133
532,Truck706,103
533,Truck341,234
534,Truck647,124
535,Truck545,165
536,Truck707,105
537,Truck718,100
538,Truck498,181
539,Truck724,101
540,Truck862,51
541,Truck555,162
542,Truck712,107
543,Truck641,133
544,Truck355,234
545,Truck559,165
546,Truck683,120
547,Truck721,105
548,Truck491,186
549,Truck777,86
550,Truck876,51
551,Truck964,21
552,Truck569,162
553,Truck655,133
554,Truck734,103
555,Truck369,234
556,Truck675,124
557,Truck573,165
558,Truck697,120
559,Truck746,100
560,Truck494,191
561,Truck505,186
562,Truck692,121
563,Truck791,86
564,Truck890,51
565,Truck493,192
566,Truck583,162
567,Truck740,107
568,Truck669,133
569,Truck383,234
570,Truck689,124
571,Truck587,165
572,Truck749,105
573,Truck519,186
574,Truck540,181
575,Truck805,86
576,Truck904,51
577,Truck597,162
578,Truck762,103
579,Truck397,234
580,Truck703,124
581,Truck601,165
582,Truck763,105
583,Truck774,100
584,Truck533,186
585,Truck720,121
586,Truck780,101
587,Truck819,86
588,Truck918,51
589,Truck1006,21
590,Truck521,192
591,Truck611,162
592,Truck768,107
593,Truck776,103
594,Truck411,234
595,Truck717,124
596,Truck615,165
597,Truck788,100
598,Truck536,191
599,Truck547,186
600,Truck932,51
601,Truck625,162
602,Truck711,133
603,Truck425,234
604,Truck731,124
605,Truck629,165
606,Truck753,120
607,Truck561,186
608,Truck748,121
609,Truck808,101
610,Truck847,86
611,Truck946,51
612,Truck639,162
613,Truck725,133
614,Truck439,234
615,Truck745,124
616,Truck990,39
617,Truck643,165
618,Truck564,191
619,Truck575,186
620,Truck596,181
621,Truck822,101
622,Truck861,86
623,Truck960,51
624,Truck1048,21
625,Truck653,162
626,Truck810,107
627,Truck739,133
628,Truck453,234
629,Truck759,124
630,Truck657,165
631,Truck830,100
632,Truck578,191
633,Truck589,186
634,Truck836,101
635,Truck974,51
636,Truck1062,21
637,Truck667,162
638,Truck824,107
639,Truck467,234
640,Truck631,174
641,Truck1018,39
642,Truck671,165
643,Truck833,105
644,Truck603,186
645,Truck624,181
646,Truck737,141
647,Truck790,121
648,Truck889,86
649,Truck988,51
650,Truck1076,21
651,Truck591,192
652,Truck681,162
653,Truck767,133
654,Truck846,103
655,Truck481,234
656,Truck787,124
657,Truck509,225
658,Truck685,165
659,Truck617,186
660,Truck804,121
661,Truck864,101
662,Truck1002,51
663,Truck1090,21
664,Truck695,162
665,Truck852,107
666,Truck781,133
667,Truck495,234
668,Truck801,124
669,Truck872,100
670,Truck818,121
671,Truck1016,51
672,Truck709,162
673,Truck866,107
674,Truck795,133
675,Truck815,124
676,Truck713,165
677,Truck875,105
678,Truck886,100
679,Truck634,191
680,Truck645,186
681,Truck832,121
682,Truck892,101
683,Truck931,86
684,Truck1030,51
685,Truck1118,21
686,Truck723,162
687,Truck880,107
688,Truck809,133
689,Truck888,103
690,Truck523,234
691,Truck687,174
692,Truck829,124
693,Truck1074,39
694,Truck727,165
695,Truck648,191
696,Truck659,186
697,Truck906,101
698,Truck945,86
699,Truck1044,51
700,Truck1132,21
701,Truck894,107
702,Truck823,133
703,Truck537,234
704,Truck843,124
705,Truck1088,39
706,Truck741,165
707,Truck865,120
708,Truck903,105
709,Truck914,100
710,Truck673,186
711,Truck694,181
712,Truck860,121
713,Truck920,101
714,Truck1058,51
715,Truck1146,21
716,Truck661,192
717,Truck751,162
718,Truck837,133
719,Truck551,234
720,Truck715,174
721,Truck755,165
722,Truck917,105
723,Truck928,100
724,Truck676,191
725,Truck708,181
726,Truck874,121
727,Truck934,101
728,Truck1072,51
729,Truck765,162
730,Truck922,107
731,Truck851,133
732,Truck565,234
733,Truck729,174
734,Truck871,124
735,Truck1116,39
736,Truck769,165
737,Truck942,100
738,Truck690,191
739,Truck701,186
740,Truck948,101
741,Truck1086,51
742,Truck779,162
743,Truck579,234
744,Truck885,124
745,Truck1130,39
746,Truck783,165
747,Truck907,120
748,Truck956,100
749,Truck902,121
750,Truck962,101
751,Truck1100,51
752,Truck793,162
753,Truck950,107
754,Truck879,133
755,Truck958,103
756,Truck593,234
757,Truck899,124
758,Truck959,105
759,Truck970,100
760,Truck750,181
761,Truck916,121
762,Truck976,101
763,Truck1015,86
764,Truck1202,21
765,Truck807,162
766,Truck893,133
767,Truck607,234
768,Truck913,124
769,Truck1158,39
770,Truck811,165
771,Truck973,105
772,Truck732,191
773,Truck743,186
774,Truck930,121
775,Truck1128,51
776,Truck1216,21
777,Truck821,162
778,Truck978,107
779,Truck986,103
780,Truck621,234
781,Truck825,165
782,Truck949,120
783,Truck987,105
784,Truck757,186
785,Truck944,121
786,Truck1004,101
787,Truck1142,51
788,Truck1230,21
789,Truck835,162
790,Truck992,107
791,Truck921,133
792,Truck1000,103
793,Truck635,234
794,Truck839,165
795,Truck963,120
796,Truck1001,105
797,Truck760,191
798,Truck771,186
799,Truck1156,51
800,Truck1244,21
801,Truck849,162
802,Truck935,133
803,Truck649,234
804,Truck813,174
805,Truck955,124
806,Truck853,165
807,Truck1026,100
808,Truck785,186
809,Truck972,121
810,Truck1032,101
811,Truck1170,51
812,Truck1258,21
813,Truck773,192
814,Truck863,162
815,Truck1020,107
816,Truck663,234
817,Truck691,225
818,Truck867,165
819,Truck1029,105
820,Truck799,186
821,Truck1046,101
822,Truck1184,51
823,Truck1272,21
824,Truck877,162
825,Truck1034,107
826,Truck677,234
827,Truck1228,39
828,Truck881,165
829,Truck1043,105
830,Truck802,191
831,Truck1060,101
832,Truck1286,21
833,Truck891,162
834,Truck977,133
835,Truck1056,103
836,Truck997,124
837,Truck895,165
838,Truck1057,105
839,Truck1068,100
840,Truck816,191
841,Truck827,186
842,Truck1014,121
843,Truck1212,51
844,Truck1300,21
845,Truck905,162
846,Truck991,133
847,Truck1070,103
848,Truck705,234
849,Truck869,174
850,Truck1011,124
851,Truck909,165
852,Truck1071,105
853,Truck841,186
854,Truck1028,121
855,Truck1226,51
856,Truck919,162
857,Truck1005,133
858,Truck719,234
859,Truck1025,124
860,Truck923,165
861,Truck1047,120
862,Truck1085,105
863,Truck1096,100
864,Truck844,191
865,Truck855,186
866,Truck1042,121
867,Truck1102,101
868,Truck1240,51
869,Truck1328,21
870,Truck933,162
871,Truck1019,133
872,Truck733,234
873,Truck897,174
874,Truck1284,39
875,Truck937,165
876,Truck1099,105
877,Truck1110,100
878,Truck858,191
879,Truck1254,51
880,Truck857,192
881,Truck947,162
882,Truck1104,107
883,Truck1033,133
884,Truck1112,103
885,Truck747,234
886,Truck1053,124
887,Truck1113,105
888,Truck1124,100
889,Truck883,186
890,Truck1268,51
891,Truck1356,21
892,Truck961,162
893,Truck1126,103
894,Truck761,234
895,Truck1067,124
896,Truck965,165
897,Truck1089,120
898,Truck1127,105
899,Truck1084,121
900,Truck1144,101
901,Truck1282,51
902,Truck1370,21
903,Truck975,162
904,Truck1061,133
905,Truck775,234
906,Truck1081,124
907,Truck1103,120
908,Truck1141,105
909,Truck1152,100
910,Truck900,191
911,Truck911,186
912,Truck1098,121
913,Truck1197,86
914,Truck1296,51
915,Truck989,162
916,Truck1075,133
917,Truck789,234
918,Truck1095,124
919,Truck817,225
920,Truck993,165
921,Truck1117,120
922,Truck1155,105
923,Truck925,186
924,Truck1172,101
925,Truck1310,51
926,Truck1398,21
927,Truck1003,162
928,Truck1160,107
929,Truck1168,103
930,Truck803,234
931,Truck967,174
932,Truck1109,124
933,Truck1007,165
934,Truck1169,105
935,Truck1180,100
936,Truck939,186
937,Truck1186,101
938,Truck1324,51
939,Truck927,192
940,Truck1017,162
941,Truck1174,107
942,Truck1182,103
943,Truck1123,124
944,Truck845,225
945,Truck1021,165
946,Truck1145,120
947,Truck1183,105
948,Truck953,186
949,Truck1140,121
950,Truck1200,101
951,Truck1338,51
952,Truck1426,21
953,Truck941,192
954,Truck1031,162
955,Truck1188,107
956,Truck831,234
957,Truck1137,124
958,Truck859,225
959,Truck1035,165
960,Truck1159,120
961,Truck1208,100
962,Truck1154,121
963,Truck1214,101
964,Truck1253,86
965,Truck1352,51
966,Truck1440,21
967,Truck1045,162
968,Truck1131,133
969,Truck1210,103
970,Truck1049,165
971,Truck1211,105
972,Truck1222,100
973,Truck981,186
974,Truck1454,21
975,Truck969,192
976,Truck1059,162
977,Truck1063,165
978,Truck1225,105
979,Truck984,191
980,Truck995,186
981,Truck1242,101
982,Truck1380,51
983,Truck1468,21
984,Truck983,192
985,Truck1073,162
986,Truck873,234
987,Truck1179,124
988,Truck1239,105
989,Truck998,191
990,Truck1009,186
991,Truck1196,121
992,Truck1256,101
993,Truck1295,86
994,Truck1394,51
995,Truck1482,21
996,Truck1087,162
997,Truck1173,133
998,Truck887,234
999,Truck1051,174
1000,Truck1193,124
1001,Truck1438,39
1002,Truck1091,165
1003,Truck1215,120
1004,Truck1012,191
1005,Truck1023,186
1006,Truck1270,101
1007,Truck1496,21
1008,Truck1101,162
1009,Truck1187,133
1010,Truck901,234
1011,Truck1207,124
1012,Truck1452,39
1013,Truck1105,165
1014,Truck1229,120
1015,Truck1267,105
1016,Truck1037,186
1017,Truck1224,121
1018,Truck1115,162
1019,Truck1201,133
1020,Truck915,234
1021,Truck1281,105
1022,Truck1292,100
1023,Truck1040,191
1024,Truck1185,141
1025,Truck1238,121
1026,Truck1298,101
1027,Truck1337,86
1028,Truck1524,21
1029,Truck1039,192
1030,Truck1129,162
1031,Truck1294,103
1032,Truck929,234
1033,Truck1235,124
1034,Truck1133,165
1035,Truck1257,120
1036,Truck1306,100
1037,Truck1054,191
1038,Truck1065,186
1039,Truck1252,121
1040,Truck1312,101
1041,Truck1351,86
1042,Truck1450,51
1043,Truck1143,162
1044,Truck1308,103
1045,Truck943,234
1046,Truck1249,124
1047,Truck1494,39
1048,Truck1147,165
1049,Truck1271,120
1050,Truck1309,105
1051,Truck1079,186
1052,Truck1266,121
1053,Truck1326,101
1054,Truck1464,51
1055,Truck1552,21
1056,Truck1157,162
1057,Truck1314,107
1058,Truck1243,133
1059,Truck957,234
1060,Truck1323,105
1061,Truck1082,191
1062,Truck1093,186
1063,Truck1114,181
1064,Truck1280,121
1065,Truck1340,101
1066,Truck1478,51
1067,Truck1566,21
1068,Truck1171,162
1069,Truck971,234
1070,Truck1277,124
1071,Truck1175,165
1072,Truck1348,100
1073,Truck1107,186
1074,Truck1354,101
1075,Truck1393,86
1076,Truck1492,51
1077,Truck1342,107
1078,Truck985,234
1079,Truck1149,174
1080,Truck1291,124
1081,Truck1536,39
1082,Truck1013,225
1083,Truck1189,165
1084,Truck1313,120
1085,Truck1362,100
1086,Truck1121,186
1087,Truck1368,101
1088,Truck1506,51
1089,Truck1594,21
1090,Truck1199,162
1091,Truck1285,133
1092,Truck999,234
1093,Truck1163,174
1094,Truck1203,165
1095,Truck1365,105
1096,Truck1376,100
1097,Truck1135,186
1098,Truck1322,121
1099,Truck1382,101
1100,Truck1213,162
1101,Truck1299,133
1102,Truck1378,103
1103,Truck1319,124
1104,Truck1217,165
1105,Truck1379,105
1106,Truck1138,191
1107,Truck1336,121
1108,Truck1396,101
1109,Truck1534,51
1110,Truck1227,162
1111,Truck1384,107
1112,Truck1392,103
1113,Truck1027,234
1114,Truck1191,174
1115,Truck1355,120
1116,Truck1350,121
1117,Truck1410,101
1118,Truck1548,51
1119,Truck1151,192
1120,Truck1241,162
1121,Truck1327,133
1122,Truck1041,234
1123,Truck1347,124
1124,Truck1592,39
1125,Truck1407,105
1126,Truck1166,191
1127,Truck1177,186
1128,Truck1198,181
1129,Truck1364,121
1130,Truck1424,101
1131,Truck1165,192
1132,Truck1255,162
1133,Truck1412,107
1134,Truck1341,133
1135,Truck1420,103
1136,Truck1055,234
1137,Truck1361,124
1138,Truck1259,165
1139,Truck1421,105
1140,Truck1576,51
1141,Truck1269,162
1142,Truck1434,103
1143,Truck1069,234
1144,Truck1375,124
1145,Truck1620,39
1146,Truck1273,165
1147,Truck1397,120
1148,Truck1435,105
1149,Truck1446,100
1150,Truck1194,191
1151,Truck1205,186
1152,Truck1491,86
1153,Truck1590,51
1154,Truck1283,162
1155,Truck1369,133
1156,Truck1083,234
1157,Truck1247,174
1158,Truck1389,124
1159,Truck1287,165
1160,Truck1449,105
1161,Truck1460,100
1162,Truck1219,186
1163,Truck1406,121
1164,Truck1466,101
1165,Truck1604,51
1166,Truck1692,21
1167,Truck1297,162
1168,Truck1383,133
1169,Truck1097,234
1170,Truck1403,124
1171,Truck1301,165
1172,Truck1425,120
1173,Truck1463,105
1174,Truck1474,100
1175,Truck1233,186
1176,Truck1480,101
1177,Truck1519,86
1178,Truck1618,51
1179,Truck1706,21
1180,Truck1221,192
1181,Truck1311,162
1182,Truck1111,234
1183,Truck1417,124
1184,Truck1662,39
1185,Truck1315,165
1186,Truck1439,120
1187,Truck1477,105
1188,Truck1236,191
1189,Truck1632,51
1190,Truck1720,21
1191,Truck1325,162
1192,Truck1411,133
1193,Truck1490,103
1194,Truck1125,234
1195,Truck1153,225
1196,Truck1329,165
1197,Truck1250,191
1198,Truck1261,186
1199,Truck1448,121
1200,Truck1508,101
1201,Truck1646,51
1202,Truck1734,21
1203,Truck1339,162
1204,Truck1139,234
1205,Truck1445,124
1206,Truck1343,165
1207,Truck1505,105
1208,Truck1264,191
1209,Truck1275,186
1210,Truck1462,121
1211,Truck1522,101
1212,Truck1660,51
1213,Truck1748,21
1214,Truck1263,192
1215,Truck1353,162
1216,Truck1510,107
1217,Truck1518,103
1218,Truck1317,174
1219,Truck1459,124
1220,Truck1357,165
1221,Truck1530,100
1222,Truck1278,191
1223,Truck1289,186
1224,Truck1476,121
1225,Truck1674,51
1226,Truck1762,21
1227,Truck1367,162
1228,Truck1453,133
1229,Truck1532,103
1230,Truck1167,234
1231,Truck1473,124
1232,Truck1195,225
1233,Truck1533,105
1234,Truck1544,100
1235,Truck1303,186
1236,Truck1550,101
1237,Truck1688,51
1238,Truck1776,21
1239,Truck1381,162
1240,Truck1538,107
1241,Truck1467,133
1242,Truck1546,103
1243,Truck1181,234
1244,Truck1487,124
1245,Truck1385,165
1246,Truck1547,105
1247,Truck1504,121
1248,Truck1564,101
1249,Truck1702,51
1250,Truck1305,192
1251,Truck1395,162
1252,Truck1481,133
1253,Truck1501,124
1254,Truck1399,165
1255,Truck1523,120
1256,Truck1561,105
1257,Truck1320,191
1258,Truck1331,186
1259,Truck1578,101
1260,Truck1617,86
1261,Truck1716,51
1262,Truck1409,162
1263,Truck1495,133
1264,Truck1209,234
1265,Truck1515,124
1266,Truck1413,165
1267,Truck1575,105
1268,Truck1586,100
1269,Truck1334,191
1270,Truck1345,186
1271,Truck1366,181
1272,Truck1818,21
1273,Truck1333,192
1274,Truck1423,162
1275,Truck1580,107
1276,Truck1509,133
1277,Truck1223,234
1278,Truck1774,39
1279,Truck1251,225
1280,Truck1427,165
1281,Truck1589,105
1282,Truck1359,186
1283,Truck1606,101
1284,Truck1744,51
1285,Truck1832,21
1286,Truck1437,162
1287,Truck1237,234
1288,Truck1543,124
1289,Truck1441,165
1290,Truck1603,105
1291,Truck1614,100
1292,Truck1373,186
1293,Truck1560,121
1294,Truck1758,51
1295,Truck1846,21
1296,Truck1451,162
1297,Truck1608,107
1298,Truck1537,133
1299,Truck1616,103
1300,Truck1557,124
1301,Truck1279,225
1302,Truck1455,165
1303,Truck1387,186
1304,Truck1408,181
1305,Truck1574,121
1306,Truck1634,101
1307,Truck1465,162
1308,Truck1622,107
1309,Truck1551,133
1310,Truck1630,103
1311,Truck1265,234
1312,Truck1571,124
1313,Truck1816,39
1314,Truck1469,165
1315,Truck1631,105
1316,Truck1390,191
1317,Truck1401,186
1318,Truck1422,181
1319,Truck1588,121
1320,Truck1648,101
1321,Truck1479,162
1322,Truck1636,107
1323,Truck1565,133
1324,Truck1644,103
1325,Truck1443,174
1326,Truck1585,124
1327,Truck1483,165
1328,Truck1645,105
1329,Truck1656,100
1330,Truck1404,191
1331,Truck1415,186
1332,Truck1436,181
1333,Truck1602,121
1334,Truck1800,51
1335,Truck1493,162
1336,Truck1650,107
1337,Truck1579,133
